what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1633609936138
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1633609949119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1633609951285
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1633609952319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633609954543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610241208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610250004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610252573
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1633610256383
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1633610259078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1633610261219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610264166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610269266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610273273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610277587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610281241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610286223
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1633610298875
error,log,,,"Unable to validate connection settings.",1633610300170
error,log,,,"Unable to validate connection settings.",1633610300177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610300313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610305192
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1633610319870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610320362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610320506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610322637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610332156
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633610338181
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1633610338969
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1633610339038
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1633610352359
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1633610352576
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1633610352913
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1633610353197
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633610353219
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1633610356292
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1633610356332
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1633610367612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610374237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610385293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610390916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610394322
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633610400236
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1633610400804
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633610412758
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1633610415462
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1633610415492
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1633610428521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610449033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610455505
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1633610455798
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633610456087
