what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1633620547545
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1633620548886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620551900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620553745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620562184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620563990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620576977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620587454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620591499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620593618
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633620597887
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1633620604948
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1633620605065
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1633620605140
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1633620607191
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1633620607268
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1633620625917
error,log,,,"Internal Error",1633620625954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620634210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620757466
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1633620760994
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633620761002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620768173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620773448
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1633620775132
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1633620777752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620780370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620782400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620785688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620786753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620790504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1633620791657
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633620796371
